 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,144666223,105058,206797,57293,80308,41391,106828,217955,336934,348169,54857,418953,241083,77899,250656,1492156,80431,82069,366210,172995,161625
aeroplane,196638,1338504,6,706,12674,92,13,7661,0,206,0,0,0,0,629,1980,0,0,0,692,144
bicycle,283350,917,1857211,0,620,1790,0,9466,3,3460,0,234,9,201,58897,21605,0,0,568,2465,0
bird,148423,835,365,1381122,195,67,0,0,31047,0,1000,281,16409,9163,48,4658,0,5664,0,0,0
boat,202163,5575,0,209,778100,0,3465,6538,0,847,0,183,0,0,0,14613,77,0,603,3456,0
bottle,129927,1772,650,0,0,506239,576,294,33,667,0,8461,890,24,19774,9866,158,61,11,0,2273
bus,82640,4118,0,0,0,0,3061767,30228,26,121,0,0,0,0,523,4419,0,0,0,23038,3510
car,166135,1555,2094,0,2073,0,22565,4134104,0,0,65,45,27,0,37039,8622,0,0,0,931,88
cat,177661,0,0,2279,0,45,0,0,6176340,238,1433,21,78513,8760,0,24907,7,43749,1198,0,563
chair,781460,0,10267,226,249,1062,0,3073,2658,1736966,0,57094,169,0,473,120541,1643,0,335504,108,5126
cow,151484,0,101,3809,1809,0,1,0,13041,0,1276719,0,35401,106752,0,1839,170,55583,165,0,0
diningtable,438701,0,12,0,5,4268,0,31,1031,39028,0,1308317,9,145,291,23447,5820,0,6829,0,280
dog,286203,0,11,4572,0,0,0,48,216617,42,12240,338,5269970,25507,0,86660,12,20876,13537,0,0
horse,111010,53,4344,3320,0,0,233,16,6855,1,15907,0,47877,1258593,805,43264,866,2206,6388,0,0
motorbike,150919,5967,34404,0,0,827,0,53713,0,73,0,93,0,0,2766715,33163,0,0,0,87,0
person,918621,1379,35410,468,1604,3918,6621,13084,32417,23018,1613,11499,52181,20317,50980,14248082,917,1835,51020,3716,2584
pottedplant,243523,0,591,196,13,493,0,0,831,5090,0,7230,67,0,2,1984,728944,0,4996,0,42
sheep,95040,0,135,10084,0,0,0,0,68363,0,56432,0,44053,40437,14,1261,0,1425046,0,0,0
sofa,737627,4,0,0,0,148,5,167,12010,111858,0,4282,28388,507,769,145197,1605,523,2213447,0,656
train,396741,7243,1029,0,2722,42,54087,21513,331,0,0,0,0,3328,9642,4565,0,451,0,2901842,237
tvmonitor,178953,0,33,0,0,4,3278,18,203,8634,0,83,0,0,0,3624,0,0,228,0,1261302
